time,type,intersection,direction,turning_left,vehicle
867.60,TurnGreenThrough,3,W,null,null
871.00,TurnGreenThrough,1,W,null,null
873.20,TurnGreenThrough,5,W,null,null
877.00,TurnGreenThrough,2,W,null,null
898.20,TurnRedThrough,3,E,null,null
899.10,TurnRedThrough,5,E,null,null
899.10,TurnRedLeft,5,E,null,null
900.90,TurnRedThrough,2,E,null,null
903.60,TurnRedThrough,1,E,null,null
958.60,TurnGreenLeft,1,E,null,null
959.10,TurnGreenLeft,5,E,null,null
967.40,TurnGreenThrough,3,E,null,null
968.40,TurnRedLeft,1,E,null,null
970.20,TurnGreenThrough,1,E,null,null
972.50,TurnRedLeft,5,E,null,null
977.10,TurnGreenThrough,2,E,null,null
998.00,TurnRedThrough,3,W,null,null
998.00,TurnGreenThrough,3,N,null,null
999.00,TurnGreenLeft,5,N,null,null
999.00,TurnRedThrough,5,W,null,null
1001.00,TurnGreenThrough,2,N,null,null
1001.00,TurnRedThrough,2,W,null,null
1004.00,TurnGreenLeft,1,N,null,null
1004.00,TurnRedThrough,1,W,null,null
1011.40,TurnRedLeft,5,N,null,null
1014.60,TurnRedLeft,1,N,null,null
1015.00,TurnGreenThrough,5,N,null,null
1016.80,TurnGreenThrough,1,N,null,null
1032.70,TurnGreenThrough,5,E,null,null
1045.70,TurnRedThrough,2,N,null,null
1052.80,TurnRedThrough,5,N,null,null
1055.10,TurnRedThrough,1,N,null,null
1062.10,TurnRedThrough,3,N,null,null
1067.20,TurnGreenThrough,3,W,null,null
1071.80,TurnGreenThrough,1,W,null,null
1073.00,TurnGreenThrough,5,W,null,null
1077.20,TurnGreenThrough,2,W,null,null
1097.80,TurnRedThrough,3,E,null,null
1098.90,TurnRedLeft,5,E,null,null
1098.90,TurnRedThrough,5,E,null,null
1101.10,TurnRedThrough,2,E,null,null
1104.40,TurnRedThrough,1,E,null,null
1158.90,TurnGreenLeft,5,E,null,null
1159.40,TurnGreenLeft,1,E,null,null
1167.00,TurnGreenThrough,3,E,null,null
1169.20,TurnRedLeft,1,E,null,null
1171.00,TurnGreenThrough,1,E,null,null
1172.30,TurnRedLeft,5,E,null,null
1177.30,TurnGreenThrough,2,E,null,null
1197.60,TurnRedThrough,3,W,null,null
1197.60,TurnGreenThrough,3,N,null,null
1198.80,TurnGreenLeft,5,N,null,null
1198.80,TurnRedThrough,5,W,null,null
1201.20,TurnGreenThrough,2,N,null,null
1201.20,TurnRedThrough,2,W,null,null
1204.80,TurnGreenLeft,1,N,null,null
1204.80,TurnRedThrough,1,W,null,null
1211.20,TurnRedLeft,5,N,null,null
1214.80,TurnGreenThrough,5,N,null,null
1215.40,TurnRedLeft,1,N,null,null
1217.60,TurnGreenThrough,1,N,null,null
1232.50,TurnGreenThrough,5,E,null,null
1245.90,TurnRedThrough,2,N,null,null
1252.60,TurnRedThrough,5,N,null,null
1255.90,TurnRedThrough,1,N,null,null
1261.70,TurnRedThrough,3,N,null,null
1266.80,TurnGreenThrough,3,W,null,null
1272.60,TurnGreenThrough,1,W,null,null
1272.80,TurnGreenThrough,5,W,null,null
1277.40,TurnGreenThrough,2,W,null,null
1297.40,TurnRedThrough,3,E,null,null
1298.70,TurnRedLeft,5,E,null,null
1298.70,TurnRedThrough,5,E,null,null
1301.30,TurnRedThrough,2,E,null,null
1305.20,TurnRedThrough,1,E,null,null
1358.70,TurnGreenLeft,5,E,null,null
1360.20,TurnGreenLeft,1,E,null,null
1366.60,TurnGreenThrough,3,E,null,null
1370.00,TurnRedLeft,1,E,null,null
1371.80,TurnGreenThrough,1,E,null,null
1372.10,TurnRedLeft,5,E,null,null
1377.50,TurnGreenThrough,2,E,null,null
1397.20,TurnRedThrough,3,W,null,null
1397.20,TurnGreenThrough,3,N,null,null
1398.60,TurnRedThrough,5,W,null,null
1398.60,TurnGreenLeft,5,N,null,null
1401.40,TurnGreenThrough,2,N,null,null
1401.40,TurnRedThrough,2,W,null,null
1405.60,TurnRedThrough,1,W,null,null
1405.60,TurnGreenLeft,1,N,null,null
1411.00,TurnRedLeft,5,N,null,null
1414.60,TurnGreenThrough,5,N,null,null
1416.20,TurnRedLeft,1,N,null,null
1418.40,TurnGreenThrough,1,N,null,null
1432.30,TurnGreenThrough,5,E,null,null
1446.10,TurnRedThrough,2,N,null,null
1452.40,TurnRedThrough,5,N,null,null
1456.70,TurnRedThrough,1,N,null,null
1461.30,TurnRedThrough,3,N,null,null
1466.40,TurnGreenThrough,3,W,null,null
1472.60,TurnGreenThrough,5,W,null,null
1473.40,TurnGreenThrough,1,W,null,null
1477.60,TurnGreenThrough,2,W,null,null
1497.00,TurnRedThrough,3,E,null,null
1498.50,TurnRedThrough,5,E,null,null
