Vehicle_ID,Start_Time (s),Start_Intersection,Start_Direction,End_Time (s),End_Intersection,End_Direction
601,364.0,1.0,2.0,470.2,5.0,1.0
619,421.5,1.0,1.0,486.3,5.0,1.0
624,455.9,2.0,2.0,456.1,2.0,2.0
634,425.3,3.0,2.0,429.7,3.0,2.0
669,420.5,1.0,1.0,479.0,5.0,1.0
671,423.4,1.0,1.0,487.8,5.0,1.0
673,410.1,1.0,2.0,413.1,1.0,2.0
684,424.3,1.0,3.0,426.4,1.0,3.0
685,414.8,1.0,2.0,416.7,1.0,2.0
703,427.0,1.0,1.0,574.1,5.0,1.0
707,427.9,5.0,2.0,430.0,5.0,2.0
711,430.0,5.0,2.0,431.9,5.0,2.0
717,433.7,5.0,2.0,435.4,5.0,2.0
723,439.1,1.0,3.0,575.4,5.0,1.0
728,460.1,5.0,2.0,551.5,5.0,2.0
746,521.0,1.0,1.0,583.1,5.0,1.0
749,463.1,1.0,2.0,575.2,5.0,1.0
758,465.4,1.0,2.0,577.0,5.0,1.0
787,523.8,1.0,1.0,554.5,2.0,2.0
801,488.5,5.0,1.0,490.7,5.0,1.0
826,521.3,1.0,1.0,584.1,5.0,1.0
834,491.6,1.0,3.0,552.9,3.0,1.0
846,524.1,1.0,1.0,585.8,5.0,1.0
860,525.9,1.0,1.0,584.3,5.0,1.0
862,527.5,1.0,1.0,669.0,5.0,1.0
867,507.2,5.0,2.0,508.8,5.0,2.0
870,516.2,4.0,1.0,579.4,5.0,1.0
872,508.4,1.0,2.0,511.3,1.0,2.0
875,511.0,1.0,2.0,513.7,1.0,2.0
878,512.4,4.0,1.0,578.5,5.0,1.0
884,515.8,2.0,2.0,581.1,5.0,1.0
885,512.5,5.0,2.0,514.8,5.0,2.0
886,512.9,1.0,2.0,515.2,1.0,2.0
891,514.6,5.0,2.0,516.7,5.0,2.0
892,523.2,4.0,1.0,581.9,5.0,1.0
893,515.5,1.0,2.0,517.7,1.0,2.0
903,529.2,1.0,1.0,671.1,5.0,1.0
909,531.9,1.0,1.0,666.6,5.0,1.0
919,534.4,1.0,1.0,673.1,5.0,1.0
