1,1,14
8,0.366667,
16,0.388889,
24,0.066667,
32,0.033333,
40,0.011111,
48,0.022222,
56,0,
64,0.011111,
120,0,
160,0,
240,0.011111,
280,0.044444,
320,0.022222,
400,0.022222,
1,2,21
8,0.1,
16,0.366667,
24,0.033333,
32,0.083333,
40,0,
48,0.016667,
64,0.05,
72,0.016667,
80,0.05,
88,0.016667,
104,0.016667,
112,0.016667,
120,0.016667,
128,0.033333,
136,0.05,
152,0.016667,
160,0.033333,
176,0.033333,
184,0.016667,
200,0.016667,
208,0.016667,
1,3,21
8,0.033333,
16,0.1,
24,0.1,
32,0.066667,
40,0.033333,
48,0.066667,
64,0.033333,
72,0.033333,
80,0.033333,
88,0.066667,
112,0.033333,
120,0.033333,
136,0.033333,
152,0.066667,
160,0.033333,
208,0.033333,
216,0.033333,
232,0.033333,
320,0.066667,
400,0.033333,
560,0.033333,
2,2,8
80,0.166667,
120,0.333333,
160,0,
240,0.166667,
320,0.166667,
400,0,
600,0,
800,0.166667,
2,3,4
80,0,
320,0.5,
400,0.5,
600,0,
3,2,6
40,0.2,
160,0.2,
240,0.2,
400,0,
480,0.2,
600,0.2,
3,3,10
8,0,
16,0.285714,
40,0,
80,0.142857,
160,0.142857,
240,0,
320,0.142857,
400,0.142857,
480,0.142857,
600,0,
5,2,23
8,0.144928,
16,0.347826,
24,0.115942,
32,0.014493,
48,0.014493,
56,0.028986,
64,0.057971,
72,0.028986,
80,0.014493,
88,0.043478,
96,0,
104,0.014493,
112,0.014493,
120,0.014493,
128,0.014493,
136,0.014493,
160,0.014493,
200,0.014493,
240,0.028986,
280,0.028986,
320,0.014493,
400,0.014493,
600,0,
5,3,11
16,0.2,
40,0.1,
48,0.1,
80,0.1,
160,0.1,
240,0.1,
320,0,
400,0.1,
440,0.1,
520,0,
600,0.1,
