time,type,intersection,direction,turning_left,vehicle
75.95,WaitUntil,1,E,false,174
75.95,Resume,null,null,null,174
75.95,CheckWait,null,null,null,null
76.20,TurnGreenThrough,2,E,null,null
76.20,TurnGreenThrough,2,W,null,null
76.50,Resume,null,null,null,207
76.50,CheckWait,null,null,null,null
77.80,Enter,5,W,null,273
77.80,Resume,5,W,null,273
77.80,WaitUntil,5,W,true,273
78.89,Exit,5,N,null,271
79.36,Enter,1,E,null,175
79.36,Resume,1,E,null,175
79.36,WaitUntil,1,E,false,175
79.36,Resume,null,null,null,175
79.36,CheckWait,null,null,null,null
80.23,Enter,5,W,null,274
80.23,Resume,5,W,null,274
80.23,WaitUntil,5,W,true,274
80.44,Exit,5,N,null,337
81.42,Resume,2,S,null,117
81.42,WaitUntil,2,S,false,117
81.72,Resume,2,S,null,118
81.72,WaitUntil,2,S,false,118
86.19,Enter,5,W,null,275
86.19,Resume,5,W,null,275
86.19,WaitUntil,5,W,true,275
86.25,Enter,5,W,null,276
86.25,Resume,5,W,null,276
86.25,WaitUntil,5,W,true,276
87.09,Resume,2,S,null,119
87.09,WaitUntil,2,S,false,119
89.99,Resume,2,S,null,120
89.99,WaitUntil,2,S,false,120
94.22,Resume,2,S,null,171
94.22,WaitUntil,2,S,false,171
94.52,Resume,2,S,null,172
94.52,WaitUntil,2,S,false,172
94.82,Resume,2,S,null,173
94.82,WaitUntil,2,S,false,173
98.13,Enter,2,W,null,208
98.13,Resume,2,W,null,208
98.13,WaitUntil,2,W,true,208
98.13,Resume,null,null,null,208
98.13,CheckWait,null,null,null,null
98.13,Enter,1,E,null,176
98.13,Resume,1,E,null,176
98.13,WaitUntil,1,E,false,176
98.13,Resume,null,null,null,176
98.13,CheckWait,null,null,null,null
99.05,Enter,2,E,null,221
99.05,Resume,2,E,null,221
99.05,WaitUntil,2,E,false,221
99.05,Resume,null,null,null,221
99.05,CheckWait,null,null,null,null
99.80,TurnGreenThrough,3,N,null,null
99.80,TurnRedThrough,3,W,null,null
99.80,TurnRedThrough,3,E,null,null
99.90,TurnGreenLeft,5,N,null,null
99.90,TurnRedLeft,5,E,null,null
99.90,TurnRedThrough,5,E,null,null
99.90,TurnRedThrough,5,W,null,null
100.10,TurnGreenThrough,2,N,null,null
100.10,TurnRedThrough,2,W,null,null
100.10,TurnRedThrough,2,E,null,null
100.40,TurnRedThrough,1,E,null,null
100.40,TurnGreenLeft,1,N,null,null
100.40,TurnRedThrough,1,W,null,null
100.40,Resume,null,null,null,1
100.40,CheckWait,null,null,null,null
100.70,Resume,null,null,null,3
100.70,Resume,null,null,null,2
100.70,CheckWait,null,null,null,null
100.70,Exit,1,W,null,3
100.70,CheckWait,null,null,null,null
101.00,Resume,null,null,null,4
101.00,Resume,null,null,null,117
101.00,CheckWait,null,null,null,null
101.00,Exit,1,W,null,4
101.00,CheckWait,null,null,null,null
101.07,Enter,1,W,null,123
101.07,Resume,1,W,null,123
101.07,WaitUntil,1,W,true,123
101.30,Resume,null,null,null,118
101.30,CheckWait,null,null,null,null
101.60,Resume,null,null,null,119
101.60,CheckWait,null,null,null,null
101.90,Resume,null,null,null,120
101.90,CheckWait,null,null,null,null
102.07,Resume,2,S,null,174
102.07,WaitUntil,2,S,false,174
102.20,Resume,null,null,null,171
102.20,CheckWait,null,null,null,null
102.50,Resume,null,null,null,172
102.50,CheckWait,null,null,null,null
102.80,Resume,null,null,null,173
102.80,CheckWait,null,null,null,null
103.10,Resume,null,null,null,174
103.10,CheckWait,null,null,null,null
103.57,Enter,1,W,null,124
103.57,Resume,1,W,null,124
103.57,WaitUntil,1,W,true,124
105.48,Resume,2,S,null,175
105.48,WaitUntil,2,S,false,175
105.48,Resume,null,null,null,175
105.48,CheckWait,null,null,null,null
105.65,Enter,1,E,null,177
105.65,Resume,1,E,null,177
105.65,WaitUntil,1,E,false,177
106.86,Enter,1,W,null,125
106.86,Resume,1,W,null,125
106.86,WaitUntil,1,W,true,125
110.38,Enter,1,W,null,126
110.38,Resume,1,W,null,126
110.38,WaitUntil,1,W,true,126
111.00,TurnRedLeft,1,N,null,null
111.10,Enter,5,W,null,277
111.10,Resume,5,W,null,277
111.10,WaitUntil,5,W,true,277
112.30,TurnRedLeft,5,N,null,null
112.57,Resume,3,S,null,207
112.57,WaitUntil,3,S,false,207
112.57,Resume,null,null,null,207
112.57,CheckWait,null,null,null,null
113.20,TurnGreenThrough,1,N,null,null
113.41,Enter,1,W,null,127
113.41,Resume,1,W,null,127
113.41,WaitUntil,1,W,true,127
113.50,Resume,null,null,null,5
113.50,CheckWait,null,null,null,null
115.90,TurnGreenThrough,5,N,null,null
124.24,Resume,2,S,null,176
124.24,WaitUntil,2,S,false,176
124.24,Resume,null,null,null,176
124.24,CheckWait,null,null,null,null
125.13,Resume,5,S,null,246
125.13,Resume,5,S,null,233
125.13,WaitUntil,5,S,false,246
125.13,WaitUntil,5,S,false,233
125.13,Resume,null,null,null,246
125.13,Resume,null,null,null,233
125.13,CheckWait,null,null,null,null
125.13,CheckWait,null,null,null,null
125.43,Resume,5,S,null,234
125.43,WaitUntil,5,S,false,234
125.43,Resume,null,null,null,234
125.43,CheckWait,null,null,null,null
125.61,Enter,1,E,null,178
125.61,Resume,1,E,null,178
125.61,WaitUntil,1,E,false,178
131.27,Exit,5,N,null,246
131.27,Exit,5,N,null,233
131.57,Exit,5,N,null,234
131.89,Enter,1,S,null,6
132.07,Enter,1,S,null,7
133.60,TurnGreenThrough,5,E,null,null
134.20,Resume,3,S,null,208
134.20,WaitUntil,3,S,false,208
134.20,Resume,null,null,null,208
134.20,CheckWait,null,null,null,null
134.20,Exit,3,E,null,208
134.99,Enter,3,E,null,247
134.99,Resume,3,E,null,247
134.99,WaitUntil,3,E,false,247
135.12,Resume,3,S,null,221
135.12,WaitUntil,3,S,false,221
135.12,Resume,null,null,null,221
135.12,CheckWait,null,null,null,null
135.82,Enter,1,S,null,8
136.10,Enter,5,W,null,278
136.10,Resume,5,W,null,278
136.10,WaitUntil,5,W,true,278
136.47,Resume,3,S,null,1
136.47,WaitUntil,3,S,false,1
136.47,Resume,null,null,null,1
136.47,CheckWait,null,null,null,null
136.77,Resume,3,S,null,2
136.77,WaitUntil,3,S,false,2
136.77,Resume,null,null,null,2
136.77,CheckWait,null,null,null,null
137.07,Resume,3,S,null,117
137.07,WaitUntil,3,S,false,117
137.07,Resume,null,null,null,117
