time,type,intersection,direction,vehicle
105.19,Arrival,2,W,433
105.56,Arrival,3,W,475
107.24,Arrival,1,S,28
107.76,Arrival,3,W,476
107.79,Arrival,1,S,29
107.79,Exit,1,W,29
110.37,Arrival,1,S,30
110.83,Arrival,2,S,379
110.83,Departure,2,S,379
110.89,Arrival,1,E,380
110.92,Arrival,3,W,477
111.00,RedSouth,1,W,null
112.16,Arrival,5,E,690
112.27,Arrival,3,S,429
112.27,Departure,3,S,429
112.30,RedSouth,5,W,null
112.57,Arrival,3,S,430
112.57,Departure,3,S,430
112.87,Arrival,3,S,431
112.87,Departure,3,S,431
113.13,Arrival,1,S,31
113.20,GreenSouth,1,N,null
113.20,Departure,1,S,9
113.20,Exit,1,E,10
113.50,Departure,1,S,11
113.50,Exit,1,E,20
113.80,Departure,1,S,12
113.80,Exit,1,E,25
114.10,Departure,1,S,13
114.10,Exit,1,E,28
114.40,Departure,1,S,14
114.53,Arrival,1,S,32
114.70,Departure,1,S,15
115.00,Departure,1,S,16
115.30,Departure,1,S,17
115.37,Arrival,1,S,33
115.60,Departure,1,S,18
115.90,Departure,1,S,19
115.90,GreenSouth,5,N,null
116.20,Departure,1,S,22
116.33,Arrival,2,W,434
116.50,Departure,1,S,23
116.80,Departure,1,S,24
116.88,Arrival,1,S,34
117.10,Departure,1,S,26
117.40,Departure,1,S,27
117.70,Departure,1,S,30
118.00,Departure,1,S,32
118.30,Departure,1,S,33
118.60,Departure,1,S,34
120.09,Arrival,1,W,316
120.57,Arrival,1,S,35
121.45,Arrival,1,S,36
121.64,Arrival,5,W,594
123.47,Arrival,5,W,595
124.83,Arrival,5,S,522
124.83,Arrival,5,S,471
124.83,Departure,5,S,471
125.13,Arrival,5,S,472
125.13,Arrival,5,S,523
125.13,Departure,5,S,472
125.43,Arrival,5,S,524
125.73,Arrival,5,S,525
125.73,Departure,5,S,525
126.16,Arrival,5,S,473
128.71,Arrival,1,E,381
129.82,Arrival,3,S,432
129.82,Departure,3,S,432
130.97,Exit,5,N,471
131.27,Exit,5,N,472
131.87,Exit,5,N,525
135.10,Arrival,3,E,528
136.16,Arrival,1,S,37
136.16,Exit,1,E,37
136.17,Arrival,3,S,0
136.17,Exit,3,E,0
136.47,Arrival,3,S,1
136.47,Departure,3,S,1
136.48,Arrival,5,W,596
136.76,Arrival,1,W,317
136.77,Arrival,3,S,2
136.77,Departure,3,S,2
137.07,Arrival,3,S,4
137.07,Departure,3,S,4
137.12,Arrival,3,E,529
137.37,Arrival,3,S,5
137.37,Departure,3,S,5
137.67,Arrival,3,S,309
137.67,Departure,3,S,309
137.97,Arrival,3,S,372
137.97,Departure,3,S,372
138.27,Arrival,3,S,373
138.27,Departure,3,S,373
138.57,Arrival,3,S,374
138.57,Departure,3,S,374
138.87,Arrival,3,S,375
138.87,Departure,3,S,375
139.17,Arrival,3,S,376
139.17,Departure,3,S,376
139.32,Arrival,2,S,9
139.32,Departure,2,S,9
139.47,Arrival,3,S,377
139.47,Departure,3,S,377
139.62,Arrival,2,S,11
139.62,Departure,2,S,11
139.77,Arrival,3,S,378
139.77,Departure,3,S,378
139.92,Arrival,2,S,12
139.92,Departure,2,S,12
139.96,Arrival,1,S,38
