id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
189,399.43,599.40,1,E,5,W
239,478.68,599.70,3,W,5,W
39,383.35,600.00,1,S,5,W
42,389.65,600.30,1,S,5,W
47,407.50,600.60,1,S,5,W
48,414.96,600.90,1,S,5,W
56,432.67,601.20,1,S,5,W
60,436.49,601.50,1,S,5,W
146,440.98,601.80,1,W,5,W
147,444.88,602.10,1,W,5,W
191,439.74,602.40,1,E,5,W
70,524.62,602.40,1,S,1,W
193,467.17,602.70,1,E,5,W
73,536.36,602.70,1,S,1,W
194,472.55,603.00,1,E,5,W
212,410.69,615.40,2,W,5,E
55,431.94,615.70,1,S,5,E
59,433.99,616.00,1,S,5,E
143,399.60,616.30,1,W,5,E
40,385.28,621.54,1,S,5,N
226,415.17,621.84,2,E,5,N
213,485.08,622.14,2,W,5,N
49,420.28,622.44,1,S,5,N
50,422.85,622.74,1,S,5,N
51,423.17,623.04,1,S,5,N
52,428.75,623.34,1,S,5,N
53,428.80,623.64,1,S,5,N
254,500.15,623.83,3,E,5,E
58,433.81,623.94,1,S,5,N
140,373.71,624.24,1,W,5,N
141,393.41,624.54,1,W,5,N
145,440.27,624.84,1,W,5,N
148,446.93,625.14,1,W,5,N
190,404.87,625.44,1,E,5,N
192,456.29,625.74,1,E,5,N
255,563.46,630.27,3,E,5,N
152,484.75,639.07,1,W,3,W
315,598.74,665.54,5,W,5,N
316,601.84,665.84,5,W,5,N
317,603.41,666.14,5,W,5,N
318,608.81,666.44,5,W,5,N
319,614.06,666.74,5,W,5,N
320,616.62,667.04,5,W,5,N
321,645.28,667.34,5,W,5,N
322,647.99,667.64,5,W,5,N
345,632.81,679.54,5,E,5,N
346,643.47,679.84,5,E,5,N
347,653.50,680.14,5,E,5,N
348,659.27,680.44,5,E,5,N
349,663.63,680.74,5,E,5,N
350,673.64,681.04,5,E,5,N
351,683.65,689.79,5,E,5,N
63,445.81,699.30,1,S,5,W
66,454.18,699.60,1,S,5,W
214,551.35,699.90,2,W,5,W
227,504.25,700.20,2,E,5,W
228,548.06,700.50,2,E,5,W
87,638.41,700.70,1,S,2,W
67,514.52,700.80,1,S,5,W
68,520.64,701.10,1,S,5,W
72,535.04,701.40,1,S,5,W
149,474.70,701.70,1,W,5,W
151,483.95,702.00,1,W,5,W
77,611.24,702.80,1,S,1,W
78,617.21,703.10,1,S,1,W
79,618.43,703.40,1,S,1,W
80,619.04,703.70,1,S,1,W
81,620.00,704.00,1,S,1,W
88,643.04,704.30,1,S,1,W
89,645.40,704.60,1,S,1,W
90,645.85,715.60,1,S,1,E
61,438.76,721.44,1,S,5,N
62,442.29,721.74,1,S,5,N
215,564.86,722.04,2,W,5,N
69,522.47,722.34,1,S,5,N
71,529.89,722.64,1,S,5,N
150,477.41,722.94,1,W,5,N
153,505.20,723.24,1,W,5,N
154,507.40,723.54,1,W,5,N
155,548.43,723.84,1,W,5,N
242,616.90,723.93,3,W,5,E
195,588.72,724.14,1,E,5,N
243,634.10,724.23,3,W,5,E
256,630.30,729.77,3,E,5,N
241,615.77,730.07,3,W,5,N
75,609.04,737.07,1,S,3,W
92,656.96,742.02,1,S,2,W
257,691.98,753.75,3,E,5,N
323,721.01,765.44,5,W,5,N
324,740.92,765.74,5,W,5,N
216,614.43,799.20,2,W,5,W
74,605.14,799.50,1,S,5,W
84,624.84,799.80,1,S,5,W
86,636.50,800.10,1,S,5,W
156,592.44,800.40,1,W,5,W
160,640.37,800.70,1,W,5,W
161,643.36,801.00,1,W,5,W
199,681.20,801.30,1,E,5,W
95,761.14,803.20,1,S,1,W
229,640.57,821.34,2,E,5,N
217,670.29,821.64,2,W,5,N
76,609.87,821.94,1,S,5,N
82,620.94,822.24,1,S,5,N
83,621.13,822.54,1,S,5,N
85,636.44,822.84,1,S,5,N
157,596.31,823.14,1,W,5,N
158,600.17,823.44,1,W,5,N
159,601.32,823.74,1,W,5,N
196,610.57,824.04,1,E,5,N
197,639.97,824.34,1,E,5,N
198,675.38,824.64,1,E,5,N
244,769.83,831.60,3,W,5,N
258,787.21,848.98,3,E,5,N
100,835.30,849.44,1,S,1,E
259,790.98,852.75,3,E,5,N
260,793.03,854.80,3,E,5,N
325,809.16,865.34,5,W,5,N
326,811.95,865.64,5,W,5,N
327,814.81,865.94,5,W,5,N
328,818.13,866.24,5,W,5,N
329,818.94,866.54,5,W,5,N
330,823.14,866.84,5,W,5,N
331,840.44,867.14,5,W,5,N
332,855.32,867.44,5,W,5,N
333,871.47,877.60,5,W,5,N
352,827.88,879.34,5,E,5,N
353,866.96,879.64,5,E,5,N
354,868.64,879.94,5,E,5,N
355,878.79,884.93,5,E,5,N
230,725.55,899.10,2,E,5,W
219,757.36,899.40,2,W,5,W
200,709.30,899.70,1,E,5,W
201,712.43,900.00,1,E,5,W
98,830.10,903.60,1,S,1,W
104,846.64,903.90,1,S,1,W
108,859.08,904.20,1,S,1,W
109,860.03,904.50,1,S,1,W
113,867.55,904.80,1,S,1,W
